    empty_slots
15  ccd01c8ddfa07dbcafa5141b978a1f42 50.81233  4.427962
16  0c4657efeafb043afbc27dc1a768a60f 50.88589  4.342003
17  91c3976713452cc8756ca0de9a1bf102 50.85236  4.408635
18  7c979a8e2b99377b0d037d218c4da39d 50.81634  4.433895
19  df5f0526437c93d34a1d27fc8280456f 50.79647  4.328415
20  016e5fc9eab987a5a9d06543033becd3 50.83424  4.350732
21  4e84e309d59e8360d904211b9dcf9f86 50.79158  4.332669
22  93c262325b75381a6d0ac15f6a388289 50.87335  4.334311
23  98b7706004254efb7af7a3db8af4535d 50.84050  4.356878
24  db0c1584a5d5c48c8a12627643cef4b5 50.83168  4.404769
25  8a026f65e11444e33c7c0008ba880595 50.86171  4.403147
26  5582463647278a0ea9b40736a2e63096 50.86187  4.372146
27  6a1ce915ae7da01fc74dd4cf5fb69b13 50.85563  4.394807
28  e3d21bf31c0c9a9b8316bb1d6352930e 50.88960  4.373967
29  06923adc257a07a8dff89d90ba4e5e02 50.81838  4.346061
30  3859fe71ba1a18015665f239f4e3a9fb 50.81652  4.336212
31  6ccb76eb404d3af76cebf70633895fb1 50.83771  4.369117
32  ff0db34ab6fe6e4ad8e7ce0df6b34068 50.81009  4.324864
33  64486dc108a70142f4206a1f0912ea7f 50.83579  4.375782
34  dc0de24a5f6db7bb6cc3cb7372e5f0ed 50.82963  4.369200
35  d2825403e9f769f207b40ae14cf5e11e 50.83630  4.415050
36  2bdc4ac89d465c2753cb635b31ec2552 50.83342  4.313378
37  4dbc60ed2adb36f7b236348a7288a6cf 50.83580  4.401599
38  37f20a4d60168c4cc7f827848bd99a4c 50.83108  4.398546
39  4941e14fd52c1ece88f763f1b172ce15 50.85030  4.360706
40  a770b7b4bba781a91004677d6df0c28d 50.82796  4.347791
41  417bcf3e89f9b0d9684ac99cdca380cd 50.85930  4.354850
42  602abe94569a29da23e4b93d02c1120c 50.87477  4.308977
43  de31d0a5633c6dc5cd90d5c2a10a6349 50.85417  4.322948
44  c95bb59023e56b73c8b615b6ed60c384 50.86790  4.390696
45  f13fe2270d95721b3def3df560706524 50.80268  4.412073
46  88e0c0e98a4917be1015b0248f21fa2e 50.86387  4.366741
47  17b1f3f6f755a06097dd5e2ff1753bda 50.85918  4.359420
48  f808721cfaf0c527a5690be5cb255dc0 50.85559  4.439625
49  7d1abb6c525e552e0bffc10b4c19169b 50.83873  4.321760
50  c212ab3c301e82bc3e5e7af6da45c0e6 50.86764  4.385817
51  41ef5fe58fcec0b44456476f88e793f6 50.84537  4.417880
52  d90b0a9f6b33440b633c2b5ff341ba89 50.82860  4.299621
53  587bef105b8846c0522da5d2a176d827 50.81233  4.318885
54  f1aa2b45ed0c1323fd07af727eacbb8e 50.89400  4.331902
55  6eea137793d110441af8918bfaa4c448 50.85913  4.414406
56  1d524f8a8f50e66e15f473b356840ab1 50.86178  4.302607
57  a000025010a56fe48a821925c2aa2cb9 50.82221  4.389325
58  d323e86971981b2ce38a617edb470b21 50.84397  4.313537
59  5b31fc13f02fffee8693919353690009 50.85658  4.430988
60  fb5c1191ffd0b8c9c24da161ff12eab4 50.83750  4.335947
61  d5f7abeb90dbbf0c121a95ffc27d7a86 50.80814  4.336901
62  856e27663de0aea4701a9d6c077b04c7 50.82699  4.382379
63  476f7d6786c351a0b56b391d98b1d4c0 50.80271  4.358842
64  0a802fcc03d57de5fb01ddd28693a76d 50.84633  4.355193
65  70dc1c1102d1ed0a4e9fb9bb5a12ee9e 50.86702  4.406995
66  bf39625ce97eacefffde64e269752d88 50.87098  4.397506
67  17275b2c296ca089c5a29739681db26c 50.85910  4.379117
68  1f969f300422e27088b6ab0da49f1c1d 50.83733  4.293932
69  ec8d71d4d2ffa3c3479b89b4ced88fd6 50.81877  4.350961
70  627489be24854b502153fcb0902bd646 50.83955  4.312311
71  7be2c9c41818d6e5dbe600bdc45f0036 50.81485  4.376794
                                                  name
1                                133 - CHÂTEAU/KASTEEL
2                                360 - STOCKEL/STOKKEL
3                   059 - PLACE ST-JOSSE/ST JOOSTPLEIN
4                                  364 - DOCKS BRUXSEL
5                             136 - PAVILLON/PAVILJOEN
6                                        066 - SCHUMAN
7                                      272 - SCHEUTBOS
8                                280 - HEYSEL / HEISEL
9                                   021 - DE BROUCKERE
10                         034 - FONTAINAS / FONTAINAS
11                                   211 - METRO CERIA
12                            047 - LES QUAIS / KAAIEN
13                                      336 - KRAAINEM
14                                  324 - THOMAS BALIS
15                              314 - HERRMANN DEBROUX
16                                   194 - STUYVENBERG
17                   176 - COLONEL BOURG/KOLONEL BOURG
18                                132 - DEUX CHAUSSEES
19                               246 - GATTI DE GAMOND
20                039 - HOTEL DES MONNAIES / MUNTHOTEL
21           290 - GARE DE CALEVOET / KALEVOET STATION
22                                        088 - WOESTE
23                                011 - SABLON / ZAVEL
24                                       182 - BOILEAU
25                                        267 - GENEVE
26              147 - EMILE MAX LYCEE/LYCEUM EMILE MAX
27                    148 - GARE MEISER/MEISER STATION
28                                       306 - HEMBEEK
29                       230 - BERKENDAEL / BERKENDAAL
30                228 - ALTITUDE CENT / HOOGTE HONDERD
31                                      355 - PARNASSE
32             235 - FOREST NATIONAL / VORST NATIONAAL
33                                 102 - MUSEUM/MUSEUM
34                                     105 - DE HENNIN
35                                    001 - LEOPOLD II
36                    207 - BIESTEBROECK / BIESTEBROEK
